                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.41134,                0.46646,                0.94852,                0.93191,                0.86199,                0.89244,                 0.8542,                0.45665,                0.47455,                 0.9582,             0.00035664,             0.00035664,             0.00035664
                     49,                0.41438,                0.46269,                0.95344,                0.92656,                0.87165,                0.89502,                0.86447,                0.39741,                0.44406,                 0.9483,             0.00035004,             0.00035004,             0.00035004
                     50,                0.40761,                0.45603,                0.94471,                0.96741,                0.86166,                0.89488,                0.85557,                0.40925,                0.45335,                0.95571,             0.00034344,             0.00034344,             0.00034344
                     51,                0.41276,                0.45672,                0.94639,                0.96312,                0.86741,                0.89397,                 0.8569,                0.39343,                0.45359,                0.94922,             0.00033683,             0.00033683,             0.00033683
                     52,                0.40592,                0.45592,                0.94806,                0.96982,                0.86342,                0.89568,                0.85652,                0.41242,                0.45454,                0.94739,             0.00033023,             0.00033023,             0.00033023
                     53,                0.41343,                0.46445,                0.95599,                0.89691,                 0.8683,                0.89501,                0.85589,                0.41974,                0.44795,                0.94924,             0.00032363,             0.00032363,             0.00032363
                     54,                0.40145,                 0.4476,                0.94267,                0.92698,                0.86916,                0.89591,                0.85159,                0.43641,                0.46446,                0.95015,             0.00031703,             0.00031703,             0.00031703
                     55,                0.40069,                0.44632,                0.94252,                0.92898,                0.86089,                0.89378,                0.85998,                0.38621,                0.43755,                0.94152,             0.00031042,             0.00031042,             0.00031042
                     56,                0.39464,                0.43338,                0.93329,                0.96521,                0.84751,                0.89532,                0.85664,                0.42151,                0.44033,                0.94727,             0.00030382,             0.00030382,             0.00030382
                     57,                0.40074,                0.44098,                0.94354,                0.94564,                0.85272,                0.89631,                0.85944,                0.39726,                0.44485,                0.94888,             0.00029722,             0.00029722,             0.00029722
                     58,                0.39313,                0.42856,                0.93549,                0.95389,                0.86311,                0.89536,                0.85946,                0.40972,                0.44982,                0.94502,             0.00029061,             0.00029061,             0.00029061
                     59,                0.38968,                0.43365,                0.93841,                0.93997,                0.88087,                0.89777,                0.86253,                0.39023,                0.43197,                0.93369,             0.00028401,             0.00028401,             0.00028401
                     60,                0.39907,                0.44433,                 0.9453,                0.92451,                0.86566,                0.89489,                0.85507,                0.42268,                0.43985,                0.94532,             0.00027741,             0.00027741,             0.00027741
                     61,                0.39712,                0.43135,                0.94507,                0.93287,                0.86411,                0.89548,                0.86132,                0.39456,                0.43873,                0.95038,              0.0002708,              0.0002708,              0.0002708
                     62,                0.39286,                0.42588,                0.93618,                0.92739,                0.86989,                0.89648,                0.86049,                0.41067,                0.44469,                0.95053,              0.0002642,              0.0002642,              0.0002642
                     63,                0.38871,                0.42187,                0.93963,                 0.9746,                0.87194,                0.89617,                0.86317,                0.38272,                0.42018,                0.93615,              0.0002576,              0.0002576,              0.0002576
                     64,                0.38532,                0.41888,                0.94344,                0.93671,                0.85965,                0.89577,                0.86101,                0.41483,                0.43594,                0.95112,             0.00025099,             0.00025099,             0.00025099
                     65,                0.39381,                0.43142,                0.94732,                0.95707,                0.87196,                 0.8981,                0.85531,                0.41334,                0.43834,                0.94812,             0.00024439,             0.00024439,             0.00024439
                     66,                 0.3904,                0.42423,                0.93898,                0.92472,                0.87058,                0.89598,                0.85967,                0.41074,                0.42642,                0.94905,             0.00023779,             0.00023779,             0.00023779
                     67,                0.39605,                0.43264,                0.94958,                0.94035,                0.85715,                0.89572,                0.86291,                0.38847,                0.41178,                0.93914,             0.00023118,             0.00023118,             0.00023118
                     68,                 0.3881,                0.41793,                0.93591,                0.94666,                0.85793,                0.89541,                0.85644,                0.41308,                0.42453,                0.94207,             0.00022458,             0.00022458,             0.00022458
                     69,                0.37653,                0.40727,                0.93021,                0.91928,                0.87075,                0.89583,                0.85927,                0.40504,                0.41844,                0.94359,             0.00021798,             0.00021798,             0.00021798
                     70,                0.38781,                0.41401,                 0.9391,                0.91746,                0.87186,                0.89563,                0.86106,                0.40419,                0.42835,                0.94991,             0.00021137,             0.00021137,             0.00021137
